
c,xu1,ج
cildlettiği,xu1ldlbo2dyko7y,جلدلتدیگی
cildli,xu1ldly,جلدلی
cildsiz,xu1ldsro1,جلدسز
cildî,xu1ldy,جلدی
cilnar,xu1lbo1er,جلنار
cilt,xu1ld,جلد
ciltlemek,xu1ldlmk,جلدلمک
ciltlenmesi,xu1ldlbo1mh||sy,جلدلنمه‌سی
ciltleri,xu1ldlry,جلدلری
ciltli,xu1ldly,جلدلی
cilve etmek,xu1lwh e,جلوه ا
cilve,xu1lwh,جلوه
cilve,xu1lwh||,جلوه‌
cilve,xu1u4lo0wo4h,جِلْوَه
cilve,xu1u4lo0wo4h||,جِلْوَه‌
cilve-i a'zam,xu1u4lo0wo4u4 eo4ao0to1o4mo0,جِلْوَِ اَعْظَمْ
cilve-i a'zam,xu1u4lo0wo4u4 eo4ao0to1o4mo0,جِلْوَِ اَعْظَمْ
cilve-i cemal ve kemal,xu1u4lo0wo4u4 xu1o4mo4elo0 wo4 ko4mo4elo0,جِلْوَِ جَمَالْ وَ کَمَالْ
cilve-i cemal,xu1u4lo0wo4u4 xu1o4mo4elo0,جِلْوَِ جَمَالْ
cilve-i cemâl ve kemâl,xu1u4lo0wo4u4 xu1o4mo4elo0 wo4 ko4mo4elo0,جِلْوَِ جَمَالْ وَ کَمَالْ
cilve-i cemâl,xu1u4lo0wo4u4 xu1o4mo4elo0,جِلْوَِ جَمَالْ
cilve-i ehadiyet,xu1u4lo0wo4u4 eo4xo4du4bu2o4bo2o0,جِلْوَِ اَحَدِيَتْ
cilve-i ehadiyet,xu1u4lo0wo4u4 eo4xo4du4yo4bo2o0,جِلْوَِ اَحَدِیَتْ
cilve-i inayet,xu1u4lo0wo4u4 au4bo1o4eyo4bo2o0,جِلْوَِ عِنَایَتْ
cilve-i inayet-i rabbaniye,xu1u4lo0wo4u4 au4bo1o4eyo4bo2u4 ro4bu1o4o8ebo1u4yo4h||,جِلْوَِ عِنَایَتِ رَبَّانِیَه‌
cilve-i inâyet,xu1u4lo0wo4u4 au4bo1o4ebu2o4bo2o0,جِلْوَِ عِنَايَتْ
cilve-i inâyet-i rabbâniye,xu1u4lo0wo4u4 au4bo1o4ebu2o4bo2u4 ro4bu1o4o8ebo1u4bu2o4h,جِلْوَِ عِنَايَتِ رَبَّانِيَه
cilve-i kudret-i rabbaniye,xu1u4lo0wo4u4 fo2o9do0ro4bo2u4 ro4bu1o4o8ebo1u4yo4h||,جِلْوَِ قُدْرَتِ رَبَّانِیَه‌
cilve-i kudret-i rabbâniye,xu1u4lo0wo4u4 fo2o9do0ro4bo2u4 ro4bu1o4o8ebo1u4bu2o4h,جِلْوَِ قُدْرَتِ رَبَّانِيَه
cilve-i rahmet,xu1u4lo0wo4u4 ro4xo0mo4bo2o0,جِلْوَِ رَحْمَتْ
cilve-i rahmet,xu1u4lo0wo4u4 ro4xo0mo4bo2o0,جِلْوَِ رَحْمَتْ
cilve-i vahdet,xu1u4lo0wo4u4 wo4xo0do4bo2o0,جِلْوَِ وَحْدَتْ
cilve-i vahdet,xu1u4lo0wo4u4 wo4xo0do4bo2o0,جِلْوَِ وَحْدَتْ
cilve-i,xu1lwh||u4,جلوه‌ِ
cilveciği,xu1lwh||xu1ko7y,جلوه‌جگی
cilveden,xu1lwh||dbo1,جلوه‌دن
cilvedir,xu1lwh||dr,جلوه‌در
cilvegah,xu1lwh ko7eh||,جلوه گاه‌
cilveger,xu1lwh ko7r,جلوه گر
cilveger,xu1lwh||ko7r,جلوه‌گر
cilveger,xu1u4lo0wo4h,جِلْوَه
cilveger,xu1u4lo0wo4h||,جِلْوَه‌
cilvegâh,xu1lwh ko7eh,جلوه گاه
cilvekar,xu1lwh ker,جلوه کار
cilvekarane,xu1lwh kerebo1h||,جلوه کارانه‌
cilvekâr,xu1lwh ker,جلوه کار
cilvekârâne,xu1lwh kerebo1h,جلوه کارانه
cilvelendirdikleri,xu1lwh||lbo1dyrdklry,جلوه‌لندیردکلری
cilvelendiren,xu1lwh||lbo1dyrbo1,جلوه‌لندیرن
cilvelenen,xu1lwh||lh||bo1bo1,جلوه‌له‌نن
cilvelenmiş,xu1lwh||lbo1mso3,جلوه‌لنمش
cilveler,xu1lwh||lr,جلوه‌لر
cilvelerde,xu1lwh||lrdh,جلوه‌لرده
cilvelere,xu1lwh||lrh,جلوه‌لره
cilveleri,xu1lwh||lry,جلوه‌لری
cilveleridir,xu1lwh||lrydr,جلوه‌لریدر
cilvelerin,xu1lwh||lrko3,جلوه‌لرڭ
cilvelerinde,xu1lwh||lrbo1dh,جلوه‌لرنده
cilvelerinden,xu1lwh||lrbo1dbo1,جلوه‌لرندن
cilvelerindendir,xu1lwh||lrbo1dbo1dr,جلوه‌لرندندر
cilvelerine,xu1lwh||lrybo1h,جلوه‌لرینه
cilvelerini,xu1lwh||lrybo1y,جلوه‌لرینی
cilvelerinin,xu1lwh||lrybo1ko3,جلوه‌لرینڭ
cilveleriyle,xu1lwh||lrylh,جلوه‌لریله
cilvelerle,xu1lwh||lrlh,جلوه‌لرله
cilveli,xu1lwh<>ly,جلوه‌لی
cilveli,xu1lwh||ly,جلوه‌لی
cilvenin,xu1lwh||bo1ko3,جلوه‌نڭ
cilvesaz,xu1lwh sero1,جلوه ساز
cilvesi,xu1lwh||sy,جلوه‌سی
cilvesidir,xu1lwh||sydr,جلوه‌سیدر
cilvesinde,xu1lwh||sbo1dh,جلوه‌سنده
cilvesinden,xu1lwh||sbo1dbo1,جلوه‌سندن
cilvesindendir,xu1lwh||sbo1dbo1dr,جلوه‌سندندر
cilvesine,xu1lwh||sbo1h,جلوه‌سنه
cilvesini,xu1lwh||sbo1y,جلوه‌سنی
cilvesinin,xu1lwh||sbo1ko3,جلوه‌سنڭ
cilvesiyle,xu1lwh||sylh,جلوه‌سیله
cilvesâz,xu1lwh sero1,جلوه ساز
cilveye,xu1lwh||yh,جلوه‌یه
cilveyi,xu1lwh||yy,جلوه‌یی
cilâ etmek,xu1le e,جلا ا
cilâ vermek,xu1lewbu2rmk,جلاويرمک
cilâ,xu1le,جلا
cilâ,xu1lec,جلاء
cilâcı,xu1lexu1y,جلاجی
cilâdar,xu1leder,جلادار
cilâdır,xu1ledr,جلادر
cilâlamak,xu1lelemfo2,جلالامق
cilâlandırmak,xu1lelebo1dyrmfo2,جلالاندیرمق
cilâlandırıyor,xu1lelebo1dyryywr,جلالاندیرییور
cilâlanmış,xu1lelebo1mso3,جلالانمش
cilâlı,xu1lely,جلالی
cilâsıyım,xu1lesy||ym,جلاسی‌یم
cilâyı,xu1leyy,جلایی
cim'in,xu1ymko3,جیمڭ
cim,xu1ym,جیم
cima' etmek,xu1mea e,جماع ا
cima',xu1mea,جماع
cima,xu1mea,جماع
cima’,xu1mea,جماع
cimcime,xu1ymxu1ymh,جیمجیمه
cimcime,xu1ymxu1ymh||,جیمجیمه‌
cimnastik,xu1bu2mbo1esbo2bu2k,جيمناستيک
cimnastik,xu1ymbo1esbo2yk,جیمناستیک
cimnastiğe,xu1ymbo1esbo2yko7h,جیمناستیگه
cimri,xu1mry,جمری
cimri,xu1ymry,جیمری
cimrilik,xu1ymrylk,جیمریلک
cimâ' etmek,xu1mea e,جماع ا
cimâ',xu1mea,جماع
cimâ,xu1mea,جماع
cimşir,xu3mso3bu2r,چمشير
cimşir,xu3mso3yr,چمشیر
cin akıllı,xu1bo1 afo2llw,جن عقللو
cin,xu1bo1,جن
cin,xu1bo1o8,جنّ
cina'i,xu1bo1ebo5y,جنائی
cinalık,xu1webo1lfo2,جوانلق
cinan,xu1bo1ebo1,جنان
cinan-ı,xu1u4bo1ebo1u4,جِنانِ
cinana,xu1bo1ebo1h,جنانه
cinandan,xu1bo1ebo1dbo1,جناندن
cinandır,xu1bo1ebo1dr,جناندر
cinanı,xu1bo1ebo1y,جنانی
cinas,xu1bo1es,جناس
cinayat,xu1bo1eyebo2,جنایات
cinayatı,xu1bo1eyebo2y,جنایاتی
cinayatıyla,xu1bo1eyebo2ylh,جنایاتیله
cinayet etmek,xu1bo1eybo2 e,جنایت ا
cinayet,xu1bo1ebu2bo2,جنايت
cinayet,xu1bo1eybo2,جنایت
cinayet-i,xu1bo1eybo2u4,جنایتِ
cinayete,xu1bo1eybo2h,جنایته
cinayeti,xu1bo1eybo2y,جنایتی
cinayetim,xu1bo1eybo2m,جنایتم
cinayetin,xu1bo1eybo2ko3,جنایتڭ
cinayetine,xu1bo1eybo2bo1h,جنایتنه
cinayetini,xu1bo1eybo2bo1y,جنایتنی
cinayetinin,xu1bo1eybo2bo1ko3,جنایتنڭ
cinayetinizi,xu1bo1eybo2ko3ro1y,جنایتڭزی
cinayetiyle,xu1bo1eybo2ylh,جنایتیله
cinayetkar,xu1bo1eybo2ker,جنایتکار
cinayetkâr,xu1bo1eybo2ker,جنایتکار
cinayetle,xu1bo1eybo2lh,جنایتله
cinayetler,xu1bo1eybo2lr,جنایتلر
cinayetlerden,xu1bo1eybo2lrdbo1,جنایتلردن
cinayetlere,xu1bo1eybo2lrh,جنایتلره
cinayetleri,xu1bo1eybo2lry,جنایتلری
cinayetlerime,xu1bo1eybo2lrymh,جنایتلریمه
cinayetlerimin,xu1bo1eybo2lrymko3,جنایتلریمڭ
cinayetlerin,xu1bo1eybo2lrko3,جنایتلرڭ
cinayetlerinden,xu1bo1eybo2lrbo1dbo1,جنایتلرندن
cinayetlerine,xu1bo1eybo2lrybo1h,جنایتلرینه
cinayetlerini,xu1bo1eybo2lrybo1y,جنایتلرینی
cinayetlerinin,xu1bo1eybo2lrybo1ko3,جنایتلرینڭ
cinayetlerle,xu1bo1eybo2lrlh,جنایتلرله
cinayetli,xu1bo1eybo2ly,جنایتلی
cinayetten,xu1bo1eybo2dbo1,جنایتدن
cinayettir,xu1bo1eybo2dr,جنایتدر
cinaze,xu1bo1ero1h||,جنازه‌
cina’i,xu1bo1ebo5y,جنائی
cindar,xu1bo1der,جندار
cinler,xu1bo1lr,جنلر
cinlerde,xu1bo1lrdh,جنلرده
cinlerden,xu1bo1lrdbo1,جنلردن
cinlere,xu1bo1lrh,جنلره
cinleri,xu1bo1lry,جنلری
cinlerin,xu1bo1lrko3,جنلرڭ
cinlerle,xu1bo1lrlh,جنلرله
cinn,xu1bo1o8,جنّ
cinne,xu1bo1o8h,جنّه
cinnet getirmek,xu1bo1bo2 kbo2wrmk,جنت کتورمک
cinnet,xu1bo1bo2,جنت
cinnet,xu1u4bo1o8o4bo2,جِنَّت
cinnet-i muvakkata,xu1u4bo1o4o8bo2u4 mo9wo4fo2o4o8bo2o4h,جِنَّتِ مُوَقَّتَه
cinnet-i muvakkata,xu1u4bo1o4o8bo2u4 mo9wo4fo2o4o8bo2o4h||,جِنَّتِ مُوَقَّتَه‌
cinnet-i,xu1u4bo1o8o4bo2u4,جِنَّتِ
cinnete,xu1u4bo1o8bo2h,جِنّته
cinneti,xu1u4bo1o8bo2y,جِنّتی
cinnetime,xu1u4bo1o8bo2mh,جِنّتمه
cinnetini,xu1u4bo1o8bo2bo1y,جِنّتنی
cinni,xu1bo1o8y,جنّی
cinni,xu1bo1y,جنی
cinniler,xu1bo1o8ylr,جنّیلر
cinnilerin,xu1bo1o8ylrko3,جنّیلرڭ
cinnin,xu1bo1o8ko3,جنّڭ
cinniye,xu1bo1o8yh,جنّیه
cinniyeyi,xu1bo1o8yh||yy,جنّیه‌یی
cinnî,xu1bo1o8o8y,جنّّی
cinnî,xu1bo1y,جنی
cinnîden,xu1bo1o8ydbo1,جنّیدن
cinnîler,xu1bo1o8ylr,جنّیلر
cinnîleri,xu1bo1o8ylry,جنّیلری
cinnîlerin,xu1bo1o8ylrko3,جنّیلرڭ
cinnîlerini,xu1bo1o8ylrybo1y,جنّیلرینی
cinnîlerle,xu1bo1o8ylrlh,جنّیلرله
cinnînin,xu1bo1o8ybo1ko3,جنّینڭ
cinnîye,xu1bo1o8y||yh,جنّی‌یه
cins cins ayırmak,xu1bo1s xu1bo1s ebu2rmfo2,جنس جنس ايرمق
cins cins ayırmak,xu1bo1s xu1bo1s eyrmfo2,جنس جنس ایرمق
cins,xu1bo1s,جنس
cins-i ceza,xu1bo1o0su4 xu1o4ro1o4e,جنْسِ جَزَا
cins-i cezâ,xu1bo1o0su4 xu1o4ro1o4e,جنْسِ جَزَا
cins-i,xu1bo1su4,جنسِ
cinse,xu1bo1sh,جنسه
cinsi,xu1bo1sy,جنسی
cinsimi,xu1bo1smy,جنسمی
cinsimiz,xu1bo1smro1,جنسمز
cinsimizi,xu1bo1smro1y,جنسمزی
cinsin,xu1bo1sko3,جنسڭ
cinsinde,xu1bo1sbo1dh,جنسنده
cinsindeki,xu1bo1sbo1dh||ky,جنسنده‌کی
cinsinden,xu1bo1sbo1dbo1,جنسندن
cinsindendirler,xu1bo1sbo1dbo1drlr,جنسندندرلر
cinsine,xu1bo1sko3h,جنسڭه
cinsini,xu1bo1sbo1y,جنسنی
cinsinin,xu1bo1sbo1ko3,جنسنڭ
cinsiye,xu1bo1syh,جنسیه
cinsiyede,xu1bo1syh||dh,جنسیه‌ده
cinsiyeden,xu1bo1syh||dbo1,جنسیه‌دن
cinsiyen,xu1bo1syh||ko3,جنسیه‌ڭ
cinsiyene,xu1bo1syh||ko3h,جنسیه‌ڭه
cinsiyenin,xu1bo1syh||bo1ko3,جنسیه‌نڭ
cinsiyeniz,xu1bo1syh||ko3ro1,جنسیه‌ڭز
cinsiyesine,xu1bo1syh||sbo1h,جنسیه‌سنه
cinsiyesiyle,xu1bo1syh||sylh,جنسیه‌سیله
cinsiyet,xu1bo1sybo2,جنسیت
cinsiyet-i,xu1bo1sybo2u4,جنسیتِ
cinsiyetine,xu1bo1sybo2bo1h,جنسیتنه
cinsiyeye,xu1bo1syh||yh,جنسیه‌یه
cinsiyeyi,xu1bo1syh||yy,جنسیه‌یی
cinsiyle,xu1bo1sylh,جنسیله
cinsiyye,xu1bo1syh,جنسیه
cinsleri,xu1bo1slry,جنسلری
cinslerine,xu1bo1slrybo1h,جنسلرینه
cinslerini,xu1bo1slrybo1y,جنسلرینی
cinslerinin,xu1bo1slrybo1ko3,جنسلرینڭ
cinsleriyle,xu1bo1slrylh,جنسلریله
cinsten,xu1bo1sdbo1,جنسدن
cinsî,xu1bo1sy,جنسی
cinâ'î,xu1bo1ebo5y,جنائی
cinân,xu1bo1ebo1,جنان
cinâna,xu1bo1ebo1h,جنانه
cinâyet etmek,xu1bo1ebu2bo2 e,جنايت ا
cinâyet,xu1bo1ebu2bo2,جنايت
cinâyet,xu1bo1eybo2,جنایت
cinâyet-i,xu1bo1eybo2u4,جنایتِ
cinâyetinin,xu1bo1eybo2bo1ko3,جنایتنڭ
cinâze,xu1bo1ero1h,جنازه
cire,xu1yrh,جیره
cirid,xu1yryd,جیرید
cirim,xu1u4ru4mo0,جِرِمْ
cirimleri,xu1rmlry,جرملری
cirimlerin,xu1rmlrko3,جرملرڭ
cirit,xu1rbu2d,جريد
cirit,xu1ryd,جرید
ciriti,xu1rydy,جریدی
cirm,xu1rm,جرم
cirm,xu1u4rm,جِرم
cirm-i,xu1u4rmu4,جِرمِ
cirmdir,xu1u4rmdr,جِرمدر
cirme,xu1u4rmh,جِرمه
cirmi,xu1u4rmy,جِرمی
cirmin,xu1u4rmko3,جِرمڭ
cirminden,xu1u4rmbo1dbo1,جِرمندن
cirmine,xu1u4rmbo1h,جِرمنه
cirmler,xu1u4rmlr,جِرملر
cirmlerde,xu1u4rmlrdh,جِرملرده
cirmlerden,xu1u4rmlrdbo1,جِرملردن
cirmleri,xu1u4rmlry,جِرملری
cirmlerin,xu1rmlrko3,جرملرڭ
cirmlerle,xu1u4rmlrlh,جِرملرله
ciro,xu1yrw,جیرو
cisim,xu1sm,جسم
cisimde,xu1smdh,جسمده
cisimdeki,xu1smdh||ky,جسمده‌کی
cisimden,xu1smdbo1,جسمدن
cisimdir,xu1smdr,جسمدر
cisimle,xu1smlh,جسمله
cisimler,xu1smlr,جسملر
cisimlerde,xu1smlrdh,جسملرده
cisimlerdir,xu1smlrdr,جسملردر
cisimlere,xu1smlrh,جسملره
cisimleri,xu1smlry,جسملری
cisimlerin,xu1smlrko3,جسملرڭ
cisimlerinde,xu1smlrbo1dh,جسملرنده
cisimlerinden,xu1smlrbo1dbo1,جسملرندن
cisimlerini,xu1smlrybo1y,جسملرینی
cisimlerinin,xu1smlrybo1ko3,جسملرینڭ
cism,xu1sm,جسم
cism-i mermi,xu1sm mrmy,جسم مرمی
cism-i zihayat,xu1u4so0mu4 do1u4y xo4yo4ebo2o0,جِسْمِ ذِی حَیَاتْ
cism-i zîhayât,xu1u4so0mu4 do1u4bu2 xo4bu2o4ebo2o0,جِسْمِ ذِي حَيَاتْ
cism-i,xu1smu4,جسمِ
cismani,xu1smebo1y,جسمانی
cismani,xu1u4so0mo4ebo1y,جِسْمَانی
cismanilerin,xu1smebo1ylrko3,جسمانیلرڭ
cismaniyata,xu1smebo1yebo2h,جسمانیاته
cismaniyatı,xu1smebo1yebo2y,جسمانیاتی
cismaniye,xu1smebo1yh,جسمانیه
cismaniye-i,xu1smebo1yh||u4,جسمانیه‌ِ
cismaniyede,xu1smebo1yh||dh,جسمانیه‌ده
cismaniyedeki,xu1smebo1yh||dh||ky,جسمانیه‌ده‌کی
cismaniyeden,xu1smebo1yh||dbo1,جسمانیه‌دن
cismaniyedir,xu1smebo1yh||dr,جسمانیه‌در
cismaniyelerini,xu1smebo1yh||lrybo1y,جسمانیه‌لرینی
cismaniyesi,xu1smebo1yh||sy,جسمانیه‌سی
cismaniyesinden,xu1smebo1yh||sbo1dbo1,جسمانیه‌سندن
cismaniyesine,xu1smebo1yh||sbo1h,جسمانیه‌سنه
cismaniyesini,xu1smebo1yh||sbo1y,جسمانیه‌سنی
cismaniyet,xu1smebo1ybo2,جسمانیت
cismaniyete,xu1smebo1ybo2h,جسمانیته
cismaniyeti,xu1smebo1ybo2y,جسمانیتی
cismaniyetin,xu1smebo1ybo2ko3,جسمانیتڭ
cismaniyetine,xu1smebo1ybo2bo1h,جسمانیتنه
cismaniyette,xu1smebo1ybo2dh,جسمانیتده
cismaniyettedir,xu1smebo1ybo2dh||dr,جسمانیتده‌در
cismaniyetten,xu1smebo1ybo2dbo1,جسمانیتدن
cismaniyeye,xu1smebo1yh||yh,جسمانیه‌یه
cismaniyeyi,xu1smebo1yh||yy,جسمانیه‌یی
cismaniyyesini,xu1smebo1yh||sbo1y,جسمانیه‌سنی
cismanî,xu1smebo1y,جسمانی
cismanîde,xu1smebo1ydh,جسمانیده
cismanîdeki,xu1smebo1ydh||ky,جسمانیده‌کی
cismanîden,xu1smebo1ydbo1,جسمانیدن
cismanîdir,xu1smebo1ydr,جسمانیدر
cismanînin,xu1smebo1ybo1ko3,جسمانینڭ
cismanîsini,xu1smebo1ysbo1y,جسمانیسنی
cismanîsinin,xu1smebo1ysbo1ko3,جسمانیسنڭ
cismanîye,xu1smebo1y||yh,جسمانی‌یه
cismanîyi,xu1smebo1y||yy,جسمانی‌یی
cisme,xu1smh,جسمه
cismen,xu1sme,جسما
cismen,xu1smo44e,جسمًا
cismen,xu1u4so0mo44e,جِسْمًا
cismi,xu1smy,جسمی
cismimde,xu1smmdh,جسممده
cismime,xu1smmh,جسممه
cismimin,xu1smmko3,جسممڭ
cismin,xu1smko3,جسمڭ
cisminde,xu1smbo1dh,جسمنده
cismindeki,xu1smbo1dh||ky,جسمنده‌کی
cisminden,xu1smbo1dbo1,جسمندن
cismine,xu1smbo1h,جسمنه
cismini,xu1smbo1y,جسمنی
cisminin,xu1smbo1ko3,جسمنڭ
cismiyelerindeki,xu1smyh||lrbo1dh||ky,جسمیه‌لرنده‌کی
cismiyet,xu1smybo2,جسمیت
cismiyeti,xu1smybo2y,جسمیتی
cismiyle,xu1smylh,جسمیله
cismâniyyetin,xu1smebo1ybo2ko3,جسمانیتڭ
cismânî,xu1smebo1y,جسمانی
cismânî,xu1u4so0mo4ebo1bu2,جِسْمَاني
cismânîdeki,xu1smebo1ydh||ky,جسمانیده‌کی
cismânînin,xu1smebo1ybo1ko3,جسمانینڭ
cismânîyi,xu1smebo1y||yy,جسمانی‌یی
cismîde,xu1smydh,جسمیده
cisr,xu1sr,جسر
cisrî'nin,xu1srybo1ko3,جسرینڭ
cisrî,xu1sry,جسری
city,sybo2y,سیتی
civa,xu1bu2wh,جيوه
civa,xu1ywe,جیوا
civa,xu1ywh||,جیوه‌
civadira,xu1wedrh,جوادره
civadira,xu1wedrh||,جوادره‌
civan,xu1webo1,جوان
civanan,xu1webo1ebo1,جوانان
civanbaht,xu1webo1 bu1xo1bo2,جوان بخت
civani,xu1webo1y,جوانی
civanlık,xu1webo1lfo2,جوانلق
civanmerd,xu1webo1mrd,جوانمرد
civanmerdane,xu1webo1mrdebo1h,جوانمردانه
civanmerdler,xu1webo1mrdlr,جوانمردلر
civanmerdlik,xu1webo1mrdlk,جوانمردلک
civanmerdlikten,xu1webo1mrdlkdbo1,جوانمردلکدن
civar kuyu,xu1werkwyy,جوارکویی
civar,xu1wer,جوار
civar-ı,xu1weru4,جوارِ
civarda olan,xu1werdh ewlebo1,جوارده اولان
civarda,xu1werdh,جوارده
civarda,xu1werdh||,جوارده‌
civardaki,xu1werdh||ky,جوارده‌کی
civarlar,xu1werlr,جوارلر
civarlarında,xu1werlrbo1dh,جوارلرنده
civarlarındaki,xu1werlrbo1dh||ky,جوارلرنده‌کی
civarı,xu1wery,جواری
civarımdaki,xu1wermdh||ky,جوارمده‌کی
civarımızda,xu1werymro1dh,جواریمزده
civarımızdaki,xu1werymro1dh||ky,جواریمزده‌کی
civarın,xu1werko3,جوارڭ
civarına,xu1werybo1h,جوارینه
civarına,xu1werybo1h||,جوارینه‌
civarında olmak,xu1werbo1dh ew,جوارنده او
civarında,xu1werbo1dh,جوارنده
civarında,xu1werbo1dh||,جوارنده‌
civarındaki,xu1werbo1dh||ky,جوارنده‌کی
civarındakiler,xu1werbo1dh||kylr,جوارنده‌کیلر
civarından,xu1werbo1dbo1,جوارندن
civarını,xu1werybo1y,جوارینی
civarının,xu1werybo1ko3,جوارینڭ
civarınızda,xu1weryko3ro1dh,جواریڭزده
civata,xu1bu2weth,جيواطه
civata,xu1webo2h,جواته
civata,xu1webo2h||,جواته‌
civata,xu1ywete,جیواطا
civata,xu1yweth||,جیواطه‌
civciv,xu1ywxu1yw,جیوجیو
civcive,xu1ywxu1ywh,جیوجیوه
civcivi,xu1ywxu1ywy,جیوجیوی
civcivlerini,xu1ywxu1ywlrybo1y,جیوجیولرینی
civcivli,xu1ywxu1ywly,جیوجیولی
cive,xu1ywh||,جیوه‌
civelek,xu1ywh<>lk,جیوه‌لک
civelek,xu1ywh||lk,جیوه‌لک
civân,xu1webo1,جوان
civânlık,xu1webo1lfo2,جوانلق
civânmerd,xu1webo1mrd,جوانمرد
civânân,xu1webo1ebo1,جوانان
civânî,xu1webo1y,جوانی
civâr kuyu,xu1werkwbu2y,جوارکويی
civâr,xu1wer,جوار
civârda olan,xu1werdh ewlebo1,جوارده اولان
civârda,xu1werdh,جوارده
civârlar,xu1werlr,جوارلر
civârına,xu1werbu2bo1h,جوارينه
civârında olmak,xu1werbo1dh ew,جوارنده او
civârında,xu1werbo1dh,جوارنده
ciz',xu1do1a,جذع
ciz'i,xu1do1ay,جذعی
ciz'in,xu1do1ako3,جذعڭ
cizl,xu1ro1l,جزل
cizl-il,xu1u4ro1o0lu4 el,جِزْلِ ال
cizre,xu1ro1yrh||,جزیره‌
cizrî'nin,xu1ro1rybo1ko3,جزرینڭ
cizye tayin etmek,xu1ro1yh bo2ayybo1 e,جزیه تعیین ا
cizye tayîn etmek,xu1ro1bu2h bo2abu2bu2bo1 e,جزيه تعيين ا
cizye,xu1ro1bu2h,جزيه
cizye,xu1ro1yh,جزیه
cizye,xu1ro1yh||,جزیه‌
cizyeleri,xu1ro1yh||lry,جزیه‌لری
cizyeye,xu1ro1yh||yh,جزیه‌یه
ciğer köşe,xu1kr kwso3h,جکر کوشه
ciğer köşe,xu1kr kwso3h||,جکر کوشه‌
ciğer miğer,xu1krmkr,جکرمکر
ciğer,xu1ko7r,جگر
ciğer,xu1kr,جکر
ciğer-suz,xu1kr swro1,جکر سوز
ciğer-sûz,xu1ko7rswro1,جگرسوز
ciğer-sûz,xu1kr swro1,جکر سوز
ciğerci,xu1ko7rxu1y,جگرجی
ciğeri,xu1ko7ry,جگری
ciğerimize,xu1ko7rymro1h,جگریمزه
ciğerine,xu1ko7rybo1h,جگرینه
ciğerleri,xu1ko7rlry,جگرلری
ciğerlerim,xu1ko7rlrm,جگرلرم
ciğerlerime,xu1ko7rlrmh,جگرلرمه
ciğerlerimize,xu1ko7rlrymro1h,جگرلریمزه
ciğerlerimizin,xu1ko7rlrymro1ko3,جگرلریمزڭ
ciğerlerini,xu1ko7rlrybo1y,جگرلرینی
ciğerotu,xu1ko7rewbo2y,جگراوتی
ciğerpare,xu1ko7r<>bu3erh||,جگر‌پاره‌
ciğerpâre,xu1ko7r||bu3erh,جگر‌پاره
ciğersûz,xu1ko7rswro1,جگرسوز
ciğerşikâf,xu1ko7rso3kefo1,جگرشکاف
ciğerşikâfe,xu1ko7rso3kefo1h,جگرشکافه
ciğerşikâfta,xu1ko7rso3kefo1dh,جگرشکافده
ci̇bal,xu1bu1el,جبال
ci̇bi̇lli̇yet,xu1u4bu1u4lu4o8yo4bo2o0,جِبِلِّیَتْ
ci̇dal,xu1del,جدال
ci̇dal,xu1u4do4elo0,جِدَالْ
ci̇fe,xu1u4yfo1o4h||,جِیفَه‌
ci̇fi̇r,xu1u4fo1u4ro0,جِفِرْ
ci̇fr,xu1fo1r,جفر
ci̇had,xu1hed,جهاد
ci̇hangi̇r,xu1u4ho4ebo1o0ko7yr,جِهَانْگیر
ci̇hat,xu1hebo2,جهات
ci̇haz,xu1hero1,جهاز
ci̇het,xu1hbo2,جهت
ci̇het,xu1u4ho4bo2o0,جِهَتْ
ci̇het-i̇ fark,xu1u4ho4bo2u4 fo1o4ro0fo2o0,جِهَتِ فَرْقْ
ci̇het-i̇ lezzet,xu1u4ho4bo2u4 lo4do1o4o8bo2o0,جِهَتِ لَذَّتْ
ci̇het-i̇ vahdet,xu1u4ho4bo2u4 wo4xo0do4bo2o0,جِهَتِ وَحْدَتْ
ci̇lve,xu1lwh||,جلوه‌
ci̇lve,xu1u4lo0wo4h||,جِلْوَه‌
ci̇lve-i̇ a'zam,xu1u4lo0wo4u4 eo4ao0to1o4mo0,جِلْوَِ اَعْظَمْ
ci̇lve-i̇ cemal ve kemal,xu1u4lo0wo4u4 xu1o4mo4elo0 wo4 ko4mo4elo0,جِلْوَِ جَمَالْ وَ کَمَالْ
ci̇lve-i̇ cemal,xu1u4lo0wo4u4 xu1o4mo4elo0,جِلْوَِ جَمَالْ
ci̇lve-i̇ ehadi̇yet,xu1u4lo0wo4u4 eo4xo4du4yo4bo2o0,جِلْوَِ اَحَدِیَتْ
ci̇lve-i̇ i̇nayet,xu1u4lo0wo4u4 au4bo1o4eyo4bo2o0,جِلْوَِ عِنَایَتْ
ci̇lve-i̇ i̇nayet-i̇ rabbani̇ye,xu1u4lo0wo4u4 au4bo1o4eyo4bo2u4 ro4bu1o4o8ebo1u4yo4h||,جِلْوَِ عِنَایَتِ رَبَّانِیَه‌
ci̇lve-i̇ kudret-i̇ rabbani̇ye,xu1u4lo0wo4u4 fo2o9do0ro4bo2u4 ro4bu1o4o8ebo1u4yo4h||,جِلْوَِ قُدْرَتِ رَبَّانِیَه‌
ci̇lve-i̇ rahmet,xu1u4lo0wo4u4 ro4xo0mo4bo2o0,جِلْوَِ رَحْمَتْ
