a,eo6
haysiyetli,xbu2bo3bu2bo2ly
haysiyetsiz,xbu2bo3bu2bo2sro1
hayta,hebu2th
hayvan,xbu2webo1
hayvânî,xbu2webo1y
hayvâniyet,xbu2webo1bu2bo2
hayvanlık,xbu2webo1lfo2
haz,xto1
hazâkat,xdo1efo2bo2
hazâkatli,xdo1efo2bo2ly
hazar,xzo1r
hazarî,xzo1ry
hazer,xdo1r
hazf,xdo1fo1
hazfetmek,xdo1fo1 ebu2bo2mk
hâzık,xedo1fo2
hazım,hzo1m
hâzım,hezo1m
hazır,xezo1r
hazırcı,xezo1rxu1y
hazırcılık,xezo1rxu1bu2lfo2
hazırlanmak,xezo1rlebo1mfo2
hazırlamak,xezo1rlemfo2
hazırlatmak,xezo1rlebo2mfo2
hazırlık,xezo1rlfo2
hazırlop,xezo1rlwbu3
hazîn,xro1bu2bo1
hazîne,xo1ro1bu2bo1h
hazînedâr,xo1ro1bu2bo1h||der
hazîran,xro1bu2rebo1
hazmetmek,hzo1m ebu2bo2mk
hazmî,hzo1my
hazne,xo1ro1bo1h
haznedâr,xo1ro1bo1h||der
haznedarlık,xo1ro1bo1h||derlfo2
hazret,xzo1rbo2
Hazretleri,xzo1rbo2lry
hazzetmek,xto1 ebu2bo2mk
he,hh
hebâ,hbu1e
hece,hxu1e
hecelemek,hxu1elmk
heceli,hxu1ely
hecin,hxu1bu2bo1
hedef,hdfo1
heder,hdr
hedim,hdm
hediye,hdbu2h
hediyelik,hdbu2h||lk
hedmetmek,hdm ebu2bo2mk
hegemonya,hko7mwbo1bu2e
hekim,hkbu2m
hekim,xkbu2m
Hekimhan,xkbu2m||xo1ebo1
hekimlik,hkbu2mlk
hektar,hkbo2er
hektarlık,hkbo2erlfo2
hektogram,hkbo2wao1rem
hektolitre,hkbo2wlbu2bo2rh
hektometre,hkbo2wmbo2rh
helâk,hlek
helâl,xlel
helâllaşmak,xlelleso3mfo2
helâllı,xlelly
helâllık,xlellfo2
helâlzâde,xlelro1edh
hele,hlh
helecan,xo1lxu1ebo1
helehele,hlh||hlh
helezon,xlro1wbo1
helezonî,xlro1wbo1y
helile,hlbu2lh
helva,xlwe
helvacı,xlwexu1y
helvahâne,xlwexo1ebo1h
helyum,hlbu2wm
hem,hm
hemasır,hmazr
hemcins,hmxu1bo1s
hemcinslik,hmxu1bo1slk
hemcivar,hmxu1wer
hemcivarlık,hmxu1werlfo2
hemderd,hmdrd
hemen,hmebo1
hemhâl,hmxel
hemhudud,hmxdwd
hemmeşreb,hmmso3rbu1
hemsohbet,hmzxbu1bo2
hemşeri,hmso3hry
hemşerilik,hmso3hrbu2lk
hemşire,hmso3bu2rh
hemşirezâde,hmso3bu2rh||ro1edh
hemze,hmro1h
hemzeli,hmro1h||ly
hendek,xo1bo1dk
hendek,hbo1dk
Hendek,hbo1dk
hendese,hbo1dsh
hendesehâne,hbo1dsh||xo1ebo1h
hendeseli,hbo1dk
hendesesiz,hbo1dsh||sro1
hendesi,hbo1dsy
henüz,hbo1wro1
hep,hbu3
hepsi,hbu3sy
her,hr
herbir,hrbu1r
hercâî,hrxu1ebo5y
hercâîlik,hrxu1ebo5bu2lk
hercümerc,hrxu1 wmrxu1
herdem,hrdm
hergele,hrko7lh||
hergele,xo1rko7lh
hergele,hrklh||
hergele,xo1rklh
hergün,hrko7wbo1
hergünkü,hrko7wbo1ky
hergünlük,hrko7wbo1lk
herkes,hrks
herkim,hrkbu2m
herif,xrbu2fo1
hernasıl,hrbo1ezl
hernasılsa,hrbo1ezlsh
herne,hrbo1h||
hernedense,hrbo1h||dbo1 ebu2sh
hernekadar,hrbo1h||fo2dr
hernerede,hrbo1rh||dh
hernetürlü,hrbo1h||drlw
hernevakit,hrbo1h||wfo2bo2
herneyse,hrbo1h||ebu2sh
hervakit,hrwfo2bo2
heryerde,hrbu2rdh
herzaman,hrro1mebo1
herze,hrro1h
herzegû,hrro1h||kw
hesab,xsebu1
hesabçı,xsebu1xu1y
hesâbî,xsebu1y
hesabkitab,xsebu1 kbo2ebu1
hesablamak,xsebu1lemfo2
hesaplaşmak,xsebu1leso3mfo2
hesablı,xsebu1ly
hesabsız,xsebu1sro1
hesabsızlık,xsebu1sro1lfo2
hevâilik,hwebo5bu2lk
hevenk,hwbo1k
heves,hws
heveskâr,hwsker
heveskârlık,hwskerlfo2
hevesli,hwsly
hey,hy
heybe,hkbu2h
heybeli,hkbu2h||ly
Heybeliada,hkbu2h||ly eo6th
heybet,hbu2bu1bo2
heybetli,hbu2bu1bo2ly
heyecan,hbu2xu1ebo1
heyecanlı,hbu2xu1ebo1ly
hey’et,hbu2eo5bo2
hey’et,hbu2bo5bo2
hey’etşinâs,heo5bo2so3bo1es
heyhât,hbu2hebo2
heyhey,hy hy
heykel,hbu2kl
heykeltraş,hbu2klbo2reso3
heykeltraşlık,hbu2klbo2reso3lfo2
heyûlâ,hbu2wle
hezarfen,hro1erfo1bo1
hezec,hro1xu1
hezel,hro1l
hezeliyat,hro1lbu2ebo2
hezeyan,hdo1bu2ebo1
hezîmet,hro1bu2mbo2
hıçkırık,hbu2xu3fo2bu2rbu2fo2
hıçkırık,hbu2xu3fo2bu2rbu2fo2
hıçkırma,hbu2xu3fo2bu2rmh
hıçkırmak,hbu2xu3fo2bu2rmfo2
hıdırellez,xo1zo1relbu2es
hıdiv,xo1dbu2w
hıfız,xfo1to1
hıfzetmek,xfo1to1 ebu2bo2mk
hilâl,hlel
hilâli,hlely
hıl’at,xo1labo2
hılki,xo1lfo2y
hım,xo1bu2m
hımhım,xo1bu2m||xo1bu2m
hımhımlamak,xo1bu2mxo1bu2lemfo2
hımhımlık,xo1bu2mxo1bu2mlfo2
hıncahınç,xo1bo1xu1exo1bo1xu1
hınç,xo1bo1xu1
Hınıs,xo1bu2bo1z
hınzır,xo1bo1ro1bu2r
hınzırlık,xo1bo1ro1bu2rlfo2
hır,xo1bu2r
hırçın,xo1bu2rxu1bu2bo1
hırçınlık,xo1bu2rxu1bu2bo1lfo2
hırdavat,xo1rdwebo2
hırdavatçı,xo1rdh||webo2xu1y
hırgür,xo1bu2rkwr
hırıldamak,xo1bu2rbu2ldemfo2
hırıldaşmak,xo1bu2rbu2ldeso3mfo2
hırıltı,xo1bu2rbu2lbo2y
hırıltıcı,xo1bu2rbu2lbo2bu2xu1y
hıristiyan,xo1rsbo2bu2ebo1
hıristiyanlık,xo1rsbo2bu2ebo1lfo2
hırka,xo1rfo2h
hırlamak,xo1bu2rlemfo2
hırs,xrz
hırsız,xo1bu2rsro1
hırsız,xo1rsro1
hırsızlama,xo1rsro1lemh
hırsızlık,xo1rsro1lfo2
hırsızyatağı,xo1rsro1bu2bo2eao1y
hırslandırmak,xrzlebo1dbu2rmfo2
hırslanmak,xrzlebo1mfo2
hırslı,xrzly
Hırvat,xo1rwebo2
hısım,xo1zo1m
hısımlık,xo1zmlfo2
hışıldamak,xo1bu2so3bu2ldemfo2
hışıltı,xo1bu2so3bu2lbo2y
hışım,xo1so3m
hışır,xo1bu2so3bu2r
hışırdamak,xo1bu2so3bu2rdemfo2
hışırdatmak,xo1so3bu2rdebo2mfo2
hışırtı,xo1bu2so3bu2rbo2y
hıyâban,xo1bu2ebu1ebo1
hıyânet,xo1bu2ebo1bo2
hıyar,xo1bu2er
hıyarcık,xo1bu2erxu1fo2
hız,xo1bu2ro1
hızır,xzo1r
hızlanmak,xo1bu2ro1lebo1mfo2
hızlı,xo1bu2ro1ly
hibe,hbu1h
hicâb,xxu1ebu1
hicâblı,xxu1ebu1ly
Hollanda,hwlebo1de
Hollandalı,hwlebo1dely
hor,xo1wr
hora,xo1wre
horasâni,xo1resebo1y
Horasan,xo1resebo1
horhor,xo1wrxo1wr
horlamak,xo1wrlemfo2
horluk,xo1wrlfo2
horoz,xo1wrwro1
horozakıllı,xo1wrwro1 afo2lly
horozayağı,xo1wrwro1eo6bu2eao1y
horozayağı,xo1rws eo6bu2eao1y
horozcuk,xo1wrwro1xu1fo2
horozibiği,xo1wrwro1ebu2bu1bu2ky
horozlanmak,xo1wrwro1lebo1mfo2
horozoğlu,xo1wrwro1ewao1ly
horoztarağı,xo1wrwro1tereao1y
horozyumurtası,xo1wrwro1bu2wmwrth||sy
hortlamak,xo1wrbo2lemfo2
hortum,xo1wrtwm
horuldamak,xo1wrldemfo2
hoş,xo1wso3
hoşaf,xo1wso3efo1
hoşbeş,xo1wso3 bu1so3
hoşlandırmak,xo1wso3lebo1dbu2rmfo2
hoşlanmak,xo1wso3lebo1mfo2
hoşlaşmak,xo1wso3leso3mfo2
hoşluk,xo1wso3lfo2
hoşmerim,xo1wso3mrbu2m
hoşnud,xo1so3bo1wd
hoşnudluk,xo1so3bo1wdlfo2
hotoz,xo1wtwro1
hotozlu,xo1wtwro1ly
hovarda,xo1wwerde
hovardalık,xo1wwerdelfo2
hoyrat,xo1wbu2rebo2
hoyratlık,xwbu2rebo2lfo2
hozat,xo1wro1ebo2
hödük,hwdwk
hörgüç,hwrkwxu3
hû,hw
hubûbat,xbu2wbu1ebo2
Hudâ,xo1de
hud’a,xo1dah
hudâyinâbit,xo1debu2y bo1ebu1bo2
hudut,xdwd
hukûkî,xfo2wfo2y
hulâsa,xo1lezh
hulâsaten,xo1lezho2o44
hulefâ,xo1lfo1e
hulûl,xlwl
hulûli,xlwly
hulûs,xo1lwz
hulûskâr,xo1lwzker
hulûskârlık,xo1lwzkerlfo2
humar,xo1mer
hummâ,xme
humus,xo1ms
hûn,xo1wbo1
huni,hwbo1y
huni,xo1wbo1y
hunhâr,xo1wbo1xo1wer
hunharlık,xo1wbo1xo1werlfo2
hurâfat,xo1refo1ebo2
hurâfe,xo1refo1h
hurc,xo1rxu1
hurda,xo1rdh
hurdacı,xo1rdh||xu1y
hurdebin,xo1rdh||bu1bu2bo1
hurdehaş,xo1rdxo1eso3
hûri,xwry
hurma,xo1rme
hurûc,xo1rwxu1
hurûfât,xrwfo1ebo2
husûf,xo1swfo1
husûl,xzwl
husûmet,xo1zwmbo2
husûs,xo1zwz
husûsî,xo1zwzy
husûsiyet,xo1zwzbu2bo2
husye,xo1zbu2h
huşû,xo1so3wa
huşûnet,xo1so3wbo1bo2
hutbe,xo1tbu1h
hutût,xo1twt
huveynât,xwbu2bo1ebo2
huy,xo1wy
hay huy,hey hwy
huylanmak,xo1wbu2lebo1mfo2
huylu,xo1wbu2ly
huysuz,xo1wbu2sro1
huysuzluk,xo1wbu2sro1lfo2
huzme,xro1mh
huzûr,xzo1wr
huzûzât,xto1wto1ebo2
huzzâr,xzo1er
hübûb,hbu1wbu1
hübût,hbu1wt
hüccet,xxu1bo2
hüceyre,xxu1bu2rh
hücre,xxu1rh
hücrevi,xxu1rwy
hücum,hxu1wm
hüdâvendigâr,xo1dewbo1dker
hükemâ,xkme
hükkâm,xkem
hükmen,xkmeo44
hükmî,xkmy
hükûmet,xkwmbo2
hüküm,xkm
hükümdar,xkmder
hükümdarlık,xkmderlfo2
hükümfermâ,xkm fo1rme
hükümlü,xkmly
hükümnâme,xkmbo1emh
hükümran,xkmrebo1
hükümranlık,xkmrebo1lfo2
hükümsüz,xkmsro1
hükümsüzlük,xkmsro1lk
hülle,xlh
hülleci,xlh||xu1y
hümâyun,hmebu2wbo1
hümayûnnâme,hmebu2wbo1bo1emh
hüner,hbo1r
hünerli,hbo1rly
hünersiz,hbo1rsro1
hünersizlik,hbo1rsro1lk
hüngür hüngür,hwbo1ko7wrhwbo1ko7wr
hünkâr,xo1bo1ker
hünnâb,xbo1ebu1
hür,xr
hürmet,xrmbo2
hürmeten,xrmho2o44
hürmetli,xrmbo2ly
hürmetlice,xrmbo2lbu2xu1h
hürmetsiz,xrmbo2sro1
hürmetsizlik,xrmbo2sro1lk
Hürmüz,hrmro1
Hüseynabad,xsbu2bo1||eo6bu1ed
hüsnükabul,xsbo1 fo2bu1wl
hüsün,xsbo1
hürriyet,xrbu2bo2
hüviyet,hwbu2bo2
hüzün,xro1bo1
hüzünlenmek,xro1bo1lh||bo1mk
hüzünlü,xro1bo1ly
hüzünsüz,xro1bo1sro1
hüzzam,hro1em
ıdlâl,ezo1lel
Iğdır,ebu2ao1dbu2r
ıh,ebu2xo1
ıhlamur,exo1lemwr
ıkınmak,efo2bu2bo1mfo2
ıkıntı,efo2bu2bo1bo2y
Ilgaz,ebu2lao1ero1
Ilgın,ebu2lao1bu2bo1
ılıca,ebu2lbu2xu1h
ılıcak,ebu2lbu2xu1fo2
ılık,ebu2lbu2fo2
ılımak,ebu2lbu2fo2mfo2
ılışdırmak,ebu2lbu2so3dbu2rmfo2
ılıtmak,ebu2lbu2bo2mfo2
ılliyyin,albu2bu2bo1
ımızganmak,embu2ro1ao1ebo1mfo2
ırak,ebu2refo2
Irak,arefo2
Iraklı,arefo2ly
ırgat,ebu2rfo2ebo2
ırk,arfo2
ırk,ebu2rfo2
ırmak,ebu2rmefo2
ırz,arzo1
ısgara,esfo2er
ısınmak,ebu2zbu2bo1mfo2
ısırgan,ebu2zbu2rao1ebo1
ısırılmak,ebu2zbu2rlmfo2
ısırık,ebu2zbu2rbu2fo2
ısırmak,ebu2zbu2rmfo2
ısırtmak,ebu2zbu2rbo2mfo2
ısıtmak,esbu2bo2mfo2
ıskaat,esfo2et
ıskat,esfo2et
ıskala,esfo2elh
ıskara,esfo2erh
ıskarta,esfo2erth
ıskatcı,esfo2etxu1y
ıslâh,ezlex
ıslâhat,ezlexebo2
Islâhiye,ezlexbu2h
ıslak,ezlefo2
ıslamak,ebu2zlemfo2
ıslanmak,ebu2zlebo1mfo2
ıslatmak,ebu2zlebo2mfo2
ıslık,ebu2slbu2fo2
ısmarlama,ezmerlemh
ısmarlamak,ezmerlemfo2
ıspanak,esbu3ebo1efo2
Isparta,esbu3erth
ısrâr,ezrer
ıssız,ezsro1
ıstıfâ,eo5sbo2fo1e
ıstılâh,eztlex
ıstırap,ezo1trebu1
ıstırar,ezo1trer
ışık,ebu2so3bu2fo2
ışıl ışıl,ebu2so3bu2l ebu2so3bu2l
ışılamak,ebu2so3bu2lemfo2
ışılatmak,ebu2so3bu2lebo2mfo2
ışıldamak,ebu2so3bu2ldemfo2
ışıltı,ebu2so3bu2lbo2y
ışımak,ebu2so3bu2mfo2
ıtır,atr
ıtrî,atry
ıtriyât,atrbu2ebo2
ıttilâ,etlea
ızzet,aro1bo2
ızzetlemek,aro1bo2lh||mk
ızzetlenmek,aro1bo2lbo1mk
ızzetli,aro1bo2ly
iâde,eaedh
iâne,eaebo1h
iâre,eaerh
iâşe,eaeso3h
ibâdet,abu1edbo2
ibâdethâne,abu1edbo2xo1ebo1h
ibâha,ebu1exh
ibâre,abu1erh
ibâret,abu1erbo2
ibdâ,ebu1dea
ibham,ebu1hem
ibik,ebu2bu1bu2k
ibkaa,ebu1fo2e
ibka,ebu1fo2e
iblâğ,ebu1leao1
iblis,ebu1lbu2s
ibrâ,ebu1rec
ibrânâme,ebu1rebo1emh
İbranî,abu1rebo1y
ibrâz,ebu1rero1
ibre,ebu1rh
ibreli,ebu1rh||ly
ibret,abu1rbo2
ibrik,ebu1rbu2fo2
ibrişim,ebu1rbu2so3bu2m
ibriz,ebu1rbu2ro1
ibtidâ,ebu1bo2de
ibtidâî,ebu1bo2debo5y
ibtilâ,ebu1bo2le
ibtisam,ebu1bo2sem
ibtizâl,ebu1bo2do1el
icâb,ebu2xu1ebu1
icâbet,exu1ebu1bo2
icad,ebu2xu1ed
icar,ebu2xu1er
icâre,exu1erh
i’caz,eaxu1ero1
icaz,ebu2xu1ero1
icâzet,exu1ero1bo2
icâzetnâme,exu1ero1bo2bo1emh
icbâr,exu1bu1er
iclâl,exu1lel
iclâs,exu1les
icmâ,exu1mea
icmâl,exu1mel
icmâlen,exu1meleo44
icrâ,exu1re
ictihâd,exu1bo2hed
ictinâb,exu1bo2bo1ebu1
ictimâ,exu1bo2mea
ictimâî,exu1bo2meay
iç,ebu2xu3
İçel,ebu2xu3||ebu2l
içerilemek,ebu2xu3h||rbu2lh||mk
içerlek,ebu2xu3rlk
içgüvey,ebu2xu3 ko7wko7y
içim,ebu2xu3bu2m
için,ebu2xu3bu2bo1
için,ebu2xu3wbo1
içki,ebu2xu3ky
içkil,ebu2xu3kbu2l
içli,ebu2xu3ly
içlik,ebu2xu3lk
içmek,ebu2xu3mk
içre,ebu2xu3rh
îdâdiye,eadedbu2h
idâre,ederh
idarehâne,ederh||xo1ebo1h
idâreli,ederh||ly
idâm,eadem
idâme,edemh
idbâr,edbu1er
iddet,adbo2
iddia,edae
iddiacı,edaexu1y
iddialı,edaely
ideâl,ebu2dh||eo6l
idealist,ebu2dh||eo6lbu2sbo2
idealizm,ebu2dh||eo6lbu2ro1m
ideoloji,ebu2dh||ewlwro3y
ideolok,ebu2dh||ewlwao1
idgam,edao1em
idil,ebu2dbu2l
idiş,ebu2ko7dbu2so3
idlâl,ezo1lel
ıdlâl,ezo1lel
idman,edmebo1
idrâk,edrek
idrar,edrer
idrofil,ebu2drwfo1bu2l
idrojen,ebu2drwro3h||bo1
idroterapi,ebu2drwbo2h||rebu3y
îfâ,ebu2fo1e
ifâde,efo1edh
ifâkat,efo1efo2bo2
iffet,afo1bo2
iffetli,afo1bo2ly
iffetlû,afo1bo2lw
ifrit,afo1rbu2bo2
ifham,efo1hem
iflâh,efo1lex
iflâs,efo1les
ifnâ,efo1bo1e
ifrağ,efo1reao1
ifrat,efo1ret
ifrâz,efo1rero1
ifsâd,efo1sed
ifşâ,efo1so3e
iftar,efo1ter
iftihar,efo1bo2xo1er
iftirâ,efo1bo2re
iftirak,efo1bo2refo2
iğ,ebu2ko7
iğbirâr,eao1bu1rer
iğci,ebu2ko7xu1y
iğde,ebu2ko7dh
iğfâl,eao1fo1el
iğilmek,eko7bu2lmk
iğmek,eko7mk
iğne,ebu2ko7bo1h
iğneardı,ebu2ko7bo1h||eo6rdy
iğnedan,ebu2ko7bo1h||debo1
iğnelemek,ebu2ko7bo1h||lh||mk
iğnelik,ebu2ko7bo1h||lk
iğrelti,eko7rlbo2y
iğrendirmek,ebu2ko7rh||bo1dbu2rmk
iğrenecek,ebu2ko7rh||bo1h||xu1k
iğrenç,ebu2ko7rbo1xu1
iğrenmek,ebu2ko7rh||bo1mk
iğreti,eko7rbo2y
iğri,eko7ry
iğribacak,eko7ry bu1exu1efo2
iğri büğrü,eko7ry bu1wkry
iğridir,eko7bu2rdbu2r
iğrik,ebu2ko7rbu2k
iğrilmek,eko7rlmk
iğvâ,eao1we
ihâle,exelh
ihânet,ehebo1bo2
ihâta,exeth
ihbâr,exo1bu1er
ihbâri,exo1bu1ery
ihbâriye,exo1bu1erbu2h
ihbarnâme,exo1bu1erbo1emh
ihdâs,exdebo3
ihlâl,exo1lel
ihlâs,exo1lez
ihraak,exrefo1
ihrak,exrefo1
ihraç,exo1rexu1
ihrâm,exrem
ihrâz,exrero1
ihsân,exsebo1
ihsas,exses
ihtar,exo1ter
ihticâc,exbo2xu1exu1
ihtidâ,ehbo2de
ihtifâl,exbo2fo1el
ihtikan,exbo2fo2ebo1
ihtikâr,exbo2ker
ihtilâf,exo1bo2lefo1
ihtilâl,exo1bo2lel
ihtilâm,exbo2lem
ihtilât,exo1bo2let
ihtimâl,exbo2mel
ihtimam,ehbo2mem
ihtirâ,exo1bo2rea
ihtiraak,exo1bo2refo2
ihtirak,exo1bo2refo2
ihtirâî,exo1bo2reay
ihtirâm,exbo2rem
ihtirâs,exbo2rez
ihtirâz,exbo2rero1
ihtisab,exbo2sebu1
ihtisâr,exo1bo2zer
ihtisâren,exo1bo2zereo44
ihtisas,exbo2ses
ihtişâm,exbo2so3em
ihtivâ,exbo2we
ihtiyâc,exbo2bu2exu1
ihtiyar,exo1bo2bu2er
ihtiyâri,exo1bo2bu2ery
ihtiyarlamak,exo1bo2bu2erlemfo2
ihtiyarlatmak,exo1bo2bu2erlebo2mfo2
ihtiyarlık,exo1bo2bu2erlfo2
ihtiyat,exbo2bu2et
ihtiyâten,exbo2bu2eteo44
ihtiyâtî,exbo2bu2ety
ihtizâr,exbo2zo1ed
ihtizaz,ehbo2ro1ero1
ihvan,exo1webo1
ihyâ,exu1bu2e
ikaa,ebu2fo2ea
ika,ebu2fo2ea
ikaame,efo2emh
ikame,efo2emh
ikâamet,efo2embo2
îkaz,eyfo2eto1
ikbâl,efo2bu1el
ikdam,efo2dem
iken,ebu2kbo1
iki,ebu2ky
ikilemek,ebu2kbu2lh||mk
ikili,ebu2kbu2ly
ikilik,ebu2kbu2lk
ikinci,ebu2kbo1xu1y
ikindi,ebu2kbo1dy
ikiz,ebu2kbu2ro1
iklim,efo2lbu2m
ikmâl,ekmel
iknâ,efo2bo1ea
ikrah,ekreh
ikram,ekrem
ikrâmiye,ekrembu2h
ikrar,efo2rer
ikraz,efo2rezo1
iksir,eksbu2r
iktisad,efo2bo2zed
iktizâ,efo2bo2zo1e
iktibas,efo2bo2bu1es
iktidâ,efo2bo2de
iktidar,efo2bo2der
iktifâ,ekbo2fo1e
iktiran,efo2bo2rebo1
iktisâb,ekbo2sebu1
ilâ,eale
ilâç,alexu1
ilâçlı,alexu1ly
ilâçsız,alexu1sro1
ilâh,elo6h
ilâhe,elo6hh
ilâhi,elo6hy
ilâhiyat,elo6hbu2ebo2
ilâhiyûn,elo6hbu2wbo1
ilâm,ealem
ilân,ealebo1
ilâve,alewh
ilâveli,alewly
ilâveten,alewho2o44
ilcâ,elxu1e
ilcâat,elxu1eeo6bo2
ile,ebu2lh
ileri,ebu2lry
ileride,ebu2lrbu2dh
ilerde,ebu2lrbu2dh
ilerlemek,ebu2lrbu2lh||mk
ilerletmek,ebu2lrbu2lh||bo2mk
iletmek,ebu2lbo2mk
ilgâ,elao1e
ilhad,elxed
ilhak,elxefo2
ilham,elhem
ilik,ebu2lbu2k
iliklemek,ebu2lbu2klh||mk
ilikli,ebu2lbu2kly
ilim,alm
ilinti,ebu2lbu2bo1bo2y
ilişdirmek,ebu2lbu2so3dbu2rmk
ilişik,ebu2lbu2so3bu2k
ilişiksiz,ebu2lbu2so3bu2ksro1
ilişmek,ebu2lbu2so3mk
ilk,ebu2lk
ilkaa,elfo2e
ilka,elfo2e
ilkbahar,ebu2lk bu1her
ilkin,ebu2lkbu2bo1
ilksöz,ebu2lk swro1
ille,ebu2llh
ille,ele
illâ,ele
illet,albo2
illetli,albo2ly
ilmeklemek,ebu2lmklh||mk
ilmekli,ebu2lmkly
ilmî,almy
ilmihâl,alm xel
ilmiye,almbu2h
ilmiyet,almbu2bo2
ilmühaber,alm wxo1bu1r
ilsak,elzefo2
iltibas,elbo2bu1es
ilticâ,elbo2xu1e
iltifat,elbo2fo1ebo2
iltihab,elbo2hebu1
iltihâbî,elbo2hebu1y
iltihak,elbo2xefo2
iltimas,elbo2mes
iltisak,elbo2zefo2
iltisâkî,elbo2zefo2y
iltivâ,elbo2we
iltiyâm,elbo2bu2em
iltizâm,elbo2ro1em
iltizamcı,elbo2ro1emxu1y
iltizâmen,elbo2ro1emeo44
ilzâm,elro1em
îmâ,ebu2me
îmâl,eamel
îmâle,eo5melh
imam,emem
imâme,ememh
im’an,emaebo1
iman,ebu2mebo1
imansız,ebu2mebo1sro1
imansızca,ebu2mebo1sro1xu1h
imansızlık,ebu2mebo1sro1lfo2
imâr,eamer
imâretci,amerbo2xu1y
imâret,amerbo2
imbat,ebo1bu1ebo2
imbik,ebo1bu1bu2fo2
imbisat,ebo1bu1set
imdad,emded
imdi,ebu2mdy
imece,ebu2mh||xu1h||
imeci,ebu2mh||xu1y
imek,ebu2mk
imhâ,emxe
imhâl,emhel
imiş,ebu2mso3
imkân,emkebo1
imlâ,emle
imparator,ebu2mbu3retwr
imparatorluk,ebu2mbu3retwrlfo2
imrâr,emrer
imrendirmek,ebu2mrh||bo1dbu2rmk
imrenilmek,ebu2mrh||bo1lmk
imrenmek,ebu2mrh||bo1mk
imroz,ebu2mrwro1
imsâk,emsek
imsâkiye,emsekbu2h
imtidat,embo2ded
imtihan,embo2xebo1
imtilâ,embo2le
imtinâ,embo2bo1ea
imtisâl,embo2bo3el
imtisalen,embo2bo3eleo44
imtisas,embo2zez
imtiyaz,embo2bu2ero1
imtizac,embo2ro1exu1
imza,emzo1e
imzâlamak,emzo1elemfo2
imzâlanmak,emzo1elebo1mfo2
imzâlatmak,emzo1elebo2mfo2
in,ebu2bo1
inâbe,ebo1ebu1h
inadçı,abo1edxu1y
inadçılık,abo1edxu1bu2lfo2
inadına,abo1edbu2bo1h
inan,ebu2bo1ebo1
inanç,ebu2bo1ebo1xu3
inandırmak,ebu2bo1ebo1dbu2rmfo2
inanılmak,ebu2bo1ebo1lmfo2
in’am,ebo1aem
inanmak,ebu2bo1ebo1mfo2
inat,abo1ed
inâyet,abo1ebu2bo2
inâyetkâr,abo1ebu2bo2ker
inâyetli,abo1ebu2bo2ly
inbisat,ebo1bu1set
incâz,ebo1xu1ero1
ince,ebu2bo1xu1h
incecik,ebu2bo1xu1h||xu1k
incelik,ebu2bo1xu1h||lk
inceltmek,ebu2bo1xu1lmk
inceltmek,ebo1bu2xu1lbo2mk
incesaz,ebu2bo1xu1h||sero1
İncesu,ebu2bo1xu1h||sw
inci,ebu2bo1xu1y
incik,ebu2bo1xu1bu2k
incil,ebo1xu1bu2l
incilâ,ebo1xu1le
incinmek,ebo1xu1bu2bo1mk
incir,ebo1xu1bu2r
incitmek,ebo1xu1bu2bo2mk
incizâb,ebo1xu1do1ebu1
indi,abo1dy
indifâ,ebo1dfo1ea
indinde,abo1dbo1dh
indirilmek,ebu2bo1dbu2rbu2lmk
indirmek,ebu2bo1dbu2rmk
indirtmek,ebu2bo1dbu2rbo2mk
İnebolu,ebu2bo1h||bu1wly
İnegöl,ebu2bo1h||ko7wl
inek,ebu2bo1k
inekçi,ebu2bo1kxu1y
inekçilik,ebu2bo1kxu1bu2lk
infaak,ebo1fo1efo2
infak,ebo1fo1efo2
infâz,ebo1fo1edo1
infiâl,ebo1fo1ael
infikâk,ebo1fo1kek
infisah,ebo1fo1sexo1
İngiliz,ebo1ko7lbu2ro1
İngiltere,ebo1ko7lbo2rh
inhâ,ebo1he
inhidâm,ebo1hdem
inhilâl,ebo1xlel
inhimâk,ebo1hmek
inhinâ,ebo1xbo1e
inhiraf,ebo1xrefo1
inhisar,ebo1xzer
inhitat,ebo1xtet
inhizam,ebo1hro1em
in’ikâs,ebo1akes
iniklik,ebu2bo1klk
inildemek,ebu2ko3bu2ldh||mk
inilmek,ebu2bo1lmk
inilti,ebu2ko3bu2lbo2y
inisiyativ,ebu2bo1bu2sbu2ebo2bu2w
iniş,ebu2bo1bu2so3
inkâr,ebo1ker
inkıbaz,ebo1fo2bu1ezo1
inkılâb,ebo1fo2lebu1
inkıraz,ebo1fo2rezo1
inkısam,ebo1fo2sem
inkıyad,ebo1fo2bu2ed
inkisâr,ebo1kser
inkişâf,ebo1kso3efo1
inkıtâ,ebo1fo2tea
inlemek,ebo1ko3lh||mk
inletmek,ebo1ko3h||bo2mk
inme,ebu2bo1mh
inmek,ebu2bo1mk
insaf,ebo1zefo1
insan,ebo1sebo1
insâniyet,ebo1sebo1bu2bo2
insicâm,ebo1sxu1em
inşâ,ebo1so3e
inşikak,ebo1so3fo2efo2
inşirah,ebo1so3rex
intıfâ,ebo1tfo1e
intıbâ,ebo1tbu1ea
intibah,ebo1bo2bu1eh
intibak,ebo1tbu1efo2
intifâ,ebo1bo2fo1ea
intihâ,ebo1bo2he
intihab,ebo1bo2xo1ebu1
intihâl,ebo1bo2xel
intihar,ebo1bo2xer
intikal,ebo1bo2fo2el
intikam,ebo1bo2fo2em
intisâb,ebo1bo2sebu1
intişâr,ebo1bo2so3er
intizam,ebo1bo2to1em
